EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-07-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRAZ-UNIVERSITAET, AUSTRIA (STAID: 12)
Blended and updated with sources:32849 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   SD, Q_SD
    12, 32849,20050101,    0,    0
    12, 32849,20050102,    0,    0
    12, 32849,20050103,    0,    0
    12, 32849,20050104,    0,    0
    12, 32849,20050105,    0,    0
    12, 32849,20050106,    0,    0
    12, 32849,20050107,    0,    0
    12, 32849,20050108,    0,    0
    12, 32849,20050109,    0,    0
    12, 32849,20050110,    0,    0
    12, 32849,20050111,    0,    0
    12, 32849,20050112,    0,    0
    12, 32849,20050113,    0,    0
    12, 32849,20050114,    0,    0
    12, 32849,20050115,    0,    0
    12, 32849,20050116,    0,    0
    12, 32849,20050117,    0,    0
    12, 32849,20050118,    0,    0
    12, 32849,20050119,    0,    0
    12, 32849,20050120,    0,    0
    12, 32849,20050121,    0,    0
    12, 32849,20050122,    0,    0
    12, 32849,20050123,    0,    0
    12, 32849,20050124,    0,    0
    12, 32849,20050125,    0,    0
    12, 32849,20050126,    0,    0
    12, 32849,20050127,    0,    0
    12, 32849,20050128,    0,    0
    12, 32849,20050129,    0,    0
    12, 32849,20050130,    0,    0
    12, 32849,20050131,    0,    0
    12, 32849,20050201,    0,    0
    12, 32849,20050202,    0,    0
    12, 32849,20050203,   15,    0
    12, 32849,20050204,   26,    0
    12, 32849,20050205,   22,    0
    12, 32849,20050206,   20,    0
    12, 32849,20050207,   17,    0
    12, 32849,20050208,   16,    0
    12, 32849,20050209,   16,    0
    12, 32849,20050210,   15,    0
    12, 32849,20050211,   14,    0
    12, 32849,20050212,   11,    0
    12, 32849,20050213,    9,    0
    12, 32849,20050214,    7,    0
    12, 32849,20050215,    6,    0
    12, 32849,20050216,    6,    0
    12, 32849,20050217,    5,    0
    12, 32849,20050218,    5,    0
    12, 32849,20050219,    5,    0
    12, 32849,20050220,    5,    0
    12, 32849,20050221,    8,    0
    12, 32849,20050222,   23,    0
    12, 32849,20050223,   21,    0
    12, 32849,20050224,   16,    0
    12, 32849,20050225,   11,    0
    12, 32849,20050226,   16,    0
    12, 32849,20050227,   17,    0
    12, 32849,20050228,   15,    0
    12, 32849,20050301,   15,    0
    12, 32849,20050302,   14,    0
    12, 32849,20050303,   13,    0
    12, 32849,20050304,   22,    0
    12, 32849,20050305,   19,    0
    12, 32849,20050306,   17,    0
    12, 32849,20050307,   15,    0
    12, 32849,20050308,   14,    0
    12, 32849,20050309,   11,    0
    12, 32849,20050310,   15,    0
    12, 32849,20050311,   12,    0
    12, 32849,20050312,    9,    0
